고도,경도,위도
669,127.9793,34.75211
630.53,127.9798,34.7497
293.89,128.4965,34.77185
171,126.838,35.4641
210,126.8332,35.46447
352,126.8227,35.46738
380,126.8223,35.46977
407,126.8219,35.47402
427,126.8174,35.47757
452,126.8139,35.47836
591,126.8155,35.48456
514,126.8231,35.48602
440,126.8875,35.48717
707,126.8816,35.48688
594,126.8757,35.48218
587,126.8738,35.4799
444,126.8684,35.4781
474,126.864,35.47987
645,126.8629,35.4696
724,126.8688,35.46137
709,126.8681,35.46075
565,126.8677,35.45304
544,126.8668,35.44991
500,126.8692,35.4466
441,126.8673,35.44579
385,126.8674,35.44219
357,126.8714,35.44008
275,126.873,35.43914
165,126.8759,35.43637
291,126.9055,35.49198
318,126.8983,35.49468
310,126.8951,35.4948
468,126.8949,35.49798
230,126.8978,35.49249
411,126.9021,35.48552
488,126.9009,35.48343
657,126.8989,35.48057
635,126.9031,35.47815
686,126.9073,35.4787
550,126.9113,35.47698
417,126.9154,35.47798
263,126.9156,35.48088
152,126.8411,35.49319
275,126.8403,35.48569
328,126.8412,35.47871
303,126.8426,35.4757
270,126.8411,35.47105
244,126.8398,35.46642
273,126.8288,35.4659
300,126.8261,35.46688
331,126.8252,35.46904
393,126.8264,35.47184
490,126.8281,35.47749
505,126.8254,35.48128
577,126.8191,35.4861
525,126.8138,35.48304
211,126.8998,35.48813
235,126.8946,35.48798
534,126.8882,35.47287
347,126.8855,35.47013
551,126.884,35.45401
672,126.8806,35.45323
331,126.8743,35.45031
238,126.8783,35.44542
431,126.9054,35.49543
537,126.906,35.49662
543,126.9006,35.49878
570,126.8962,35.49915
590,126.8925,35.49933
590,126.8849,35.49866
675,126.8794,35.49777
660,126.8788,35.49344
615,126.8799,35.49064
696,126.8815,35.48369
683,126.8859,35.4804
755,126.8889,35.47847
650,126.8962,35.48077
212,126.8404,35.48867
336,126.8414,35.48087
336,126.8485,35.47972
341,126.8518,35.47962
425,126.8556,35.47823
504,126.861,35.47772
572,126.8611,35.47313
631,126.8644,35.46551
655,126.867,35.46294
523,126.8628,35.46023
455,126.8605,35.46213
413,126.8569,35.46441
391,126.8526,35.46535
344,126.8479,35.46538
272,126.8441,35.46466
206,126.8417,35.46338
350,126.8819,35.44534
535,126.8822,35.44686
642,126.8823,35.44888
640,126.8809,35.45117
681,126.8772,35.45581
698,126.8744,35.45856
697,126.871,35.46005
